vendor,area,site_name,installed_capacity,latitude,longitude
HUAWEI,BMA-03,TYBMSC-CN3P195.36,195.36,14.043333,100.7525
HUAWEI,BMA-03,DNM14B-AGN3P70.93,70.93,13.946667,100.628889
HUAWEI,BMA-03,RIT05B-AGN3P59.92,59.92,13.812839,100.639364
HUAWEI,BMA-03,DNM14A-AGN3P39.36,39.36,13.946944,100.629722
HUAWEI,BMA-03,BGC13-AGN3P36.00,36,13.81386,100.748932
HUAWEI,BMA-03,RIT05A-AGN3P36.00,36,13.835868,100.656908
HUAWEI,BMA-03,TYB02-AGN3P35.67,35.67,14.043333,100.752083
HUAWEI,BMA-03,DNM05-AN3P23.78,23.78,13.964837,100.615556
HUAWEI,BMA-03,DNM27-AN3P23.78,23.78,13.993615,100.647395
HUAWEI,BMA-03,BGC12-AN3P19.68,19.68,13.843056,100.782778
HUAWEI,BMA-03,NGC02-AN3P19.68,19.68,13.815,100.791667
HUAWEI,BMA-03,NGC15-AN3P19.68,19.68,13.797778,100.8725
HUAWEI,BMA-04,BPL08-AGN3P103.32,103.32,13.657111,100.790317
HUAWEI,BMA-04,PSP09-AGN3P36.08,36.08,13.636944,100.600278
HUAWEI,BMA-04,BBO05-AN3P19.68,19.68,13.601936,100.828635
HUAWEI,UPC-04,NKR0043-RN3P41.82,41.82,14.98,102.097778
HUAWEI,BMA-01,BBT24-AGN3P40.80,40.8,13.868056,100.406944
HUAWEI,BMA-01,NWW01-AN3P24.60,24.6,13.854722,100.535278
HUAWEI,BMA-01,PKK11-AGN3P24.6,24.6,13.927386,100.52072
HUAWEI,BMA-01,BBT06-AN3P23.00,23,13.912907,100.435103
HUAWEI,BMA-06,LTP05-AGN3P39.77,39.77,13.814124,100.57246
HUAWEI,UPC-03,KKN0030A-RN3P39.36,39.36,16.420833,102.822222
HUAWEI,UPC-03,KLS2242-PN3P15.99,15.99,16.42834,103.503243
HUAWEI,UPC-03,SKN1249-DN3P15.99,15.99,17.473056,103.459444
HUAWEI,UPC-03,UDT0014-PN3P15.99,15.99,17.364722,102.815833
HUAWEI,UPC-03,KKN0022-DN3P14.76,14.76,16.538889,102.112222
HUAWEI,UPC-03,KKN10001-DN3P13.53,13.53,16.441944,102.836111
HUAWEI,UPC-03,NKI1318-DN3P13.53,13.53,18.02165,103.077539
HUAWEI,UPC-03,NKP1608-DN3P13.53,13.53,17.626111,104.247222
HUAWEI,UPC-03,KKN0990-DN3P13.12,13.12,16.603611,103.047222
HUAWEI,UPC-03,KLS1601-DN3P12.30,12.3,16.696094,103.747042
HUAWEI,UPC-08,SRT8361-RN3P34.44,34.44,9.131337,99.349019
HUAWEI,UPC-08,PNA1019-PN3P13.12,13.12,8.450278,98.525556
HUAWEI,UPC-08,SRT0005-DN3P12.30,12.3,9.115,99.255278
HUAWEI,BMA-02,PSN13-AGN3P20.00,20,13.7075,100.413333
HUAWEI,UPC-10,RET11001-DN3P13.53,13.53,15.59821,103.789187
HUAWEI,UPC-10,MHR1622-PN3P13.12,13.12,16.2025,103.271111
HUAWEI,UPC-10,MHR2468-DN3P13.12,13.12,15.842335,103.373764
HUAWEI,UPC-10,RET0506-PN3P13.12,13.12,16.043661,103.652307
HUAWEI,UPC-01,LPG1521-DN3P12,13.21,14.897192,100.83273
HUAWEI,UPC-01,PYO3107-PN3P12,13.12,14.897192,100.83273
INVT,,STN6706-NBDC47.7,47,6.831389,99.539167
INVT,,NKI7248-PN3P20.91,20.91,17.882348,102.756428
INVT,,SRT6772-DCNB18.4,18.4,9.636389,99.669722
INVT,,SRT5805-NBDC15.9,15.9,9.726111,100.077778
INVT,,SRT5807-NBDC15.9,15.9,9.535967,99.669889
INVT,,RNG7143-NBDC15,15,9.734153,98.404888
INVT,,RNG7144-NBDC15,15,9.73805,98.42011
INVT,,SRATUC01-PN3P15,14.76,13.170833,100.932778
INVT,,CYP1604-DN1P11.48,11.48,16.373333,102.125278
INVT,,NAN1288A-PN3P11.07,11.07,18.755321,100.756844
INVT,,RYG2113-DN1P10,10,12.975278,101.210833
INVT,,RYG4002-DN1P10,10,13.0275,101.106111
INVT,,SSK1331-DN1P-PN3P9.84KW,9.84,14.621,104.421
INVT,,PTW05-AN3P7.49,7.49,13.754167,100.5225
INVT,,CMI6837A-DN1P6.15,6.15,18.450268,98.676365
INVT,,KBI0026toKBI7232-DN1P6.15,6.15,8.10145,98.8921
INVT,,CBR0103-DN1P10,4.92,13.1025,100.916944
INVT,,CBR1611-DN1P10,4.92,12.906944,100.909167
INVT,,CMI6837B-DN1P4.92,4.92,18.453772,98.675658
INVT,,NAN1288B-PN1P4.92,4.92,18.755444,100.756223
INVT,,PHE1602A-DN1P4.92,4.92,18.465553,100.182945
INVT,,PHE1602B-DN1P4.92,4.92,18.461849,100.182291
INVT,,PYO1600A-DN1P4.92,4.92,19.149557,100.27942
INVT,,PYO1600B-DN1P4.92,4.92,19.161112,100.276917
INVT,,BKFA347-NB1P4.1,4.1,13.810833,100.624167
INVT,,BKE8609-NB1P4,4,14.178611,100.700278
INVT,BMA-03,PTT6025-NB1P5,5,10.714497,14.010667
INVT,BMA-03,RST02-AN3P24.60,24.6,14.028611,100.610556
INVT,BMA-03,TYB04-AN3P22.96,22.96,14.030556,100.768056
INVT,BMA-03,PTT12-AGN3P19.68,19.68,14.04186,100.56658
INVT,BMA-03,NWN05-AN3P12,12,14.113611,100.614722
INVT,BMA-03,DNM26-AN3P11.48,11.48,13.99087,100.654467
INVT,BMA-03,BGC03-AN3P10,10,13.852625,100.703669
INVT,BMA-03,BGC04-AN3P9.84,9.84,13.834175,100.698369
INVT,BMA-03,BGC10-AN3P9.84,9.84,13.796667,100.711667
INVT,BMA-03,KGC03-AN3P9.84,9.84,13.790556,100.651944
INVT,BMA-03,LKG01-AN3P9.84,9.84,13.7229,100.779
INVT,BMA-03,LKG06-AN3P9.84,9.84,13.750556,100.792222
INVT,BMA-03,NGC12-AN3P9.84,9.84,13.858889,100.853889
INVT,BMA-03,PWT03-AN3P9.84,9.84,13.720833,100.715833
INVT,BMA-03,RIT01-AN3P9.84,9.84,13.803761,100.64693
INVT,BMA-03,RIT10-AN3P9.84,9.84,13.849652,100.66739
INVT,BMA-03,DNM32-AN3P9.63,9.63,13.931111,100.75
INVT,BMA-03,TYB09-AN3P8.61,8.61,14.13753,100.824187
INVT,BMA-03,DNM39-AN3P8.02,8.02,13.942905,100.775346
INVT,BMA-03,RST10-AN3P7.49,7.49,14.066056,100.675833
INVT,BMA-03,BKF0028-NB1P5,5,13.811111,100.706389
INVT,BMA-03,BKF1017-NB1P5,5,13.898056,100.695556
INVT,BMA-03,BKF1031-NB1P6,5,13.788889,100.745833
INVT,BMA-03,BKF1032-NB1P5,5,13.834167,100.778889
INVT,BMA-03,BKF1047-NB1P5,5,13.863283,100.831967
INVT,BMA-03,BKF1057-NB1P5,5,13.844167,100.696111
INVT,BMA-03,BKF1072-NB1P5,5,13.823056,100.721667
INVT,BMA-03,BKF1143-NB1P5,5,13.773889,100.788056
